nct_id,start_year,elig_word_count,summary_word_count,desc_word_count,n_inclusion,n_exclusion,fk_grade_elig,fk_grade_summary,n_numeric_constraints,n_biomarker_terms,label
NCT01603212,2013.0,716.0,70.0,887.0,8.0,9.0,11.96311403508772,14.414647887323948,18.0,6.0,1
NCT00803569,2008.0,538.0,81.0,111.0,18.0,14.0,11.709452031410041,27.788888888888895,11.0,5.0,1
NCT02735356,2016.0,267.0,28.0,68.0,7.0,8.0,26.87175000000001,8.467592592592595,3.0,1.0,1
NCT04111705,2020.0,1407.0,112.0,0.0,7.0,44.0,12.158607121202618,12.09894613583138,35.0,7.0,1
NCT07194954,2022.0,71.0,47.0,127.0,6.0,5.0,16.091282051282054,30.66333333333333,1.0,0.0,1
NCT02854436,2016.0,217.0,29.0,106.0,6.0,6.0,93.94506912442397,21.676666666666666,0.0,5.0,1
NCT00722293,2008.0,677.0,131.0,0.0,15.0,23.0,13.480698626518755,14.507057569296375,15.0,1.0,1
NCT05709821,2023.0,444.0,88.0,101.0,13.0,12.0,18.56747368421053,14.434761904761903,9.0,9.0,0
NCT02317016,2015.0,1056.0,126.0,0.0,27.0,0.0,13.233856304985341,16.954704724409456,33.0,6.0,1
NCT03783936,2019.0,925.0,68.0,0.0,19.0,23.0,12.803753546099294,12.571666666666669,33.0,8.0,1
NCT01905592,2014.0,281.0,34.0,86.0,8.0,12.0,11.511703816793894,18.612972972972972,3.0,10.0,0
NCT00601094,2009.0,433.0,50.0,350.0,17.0,15.0,18.441229946524064,11.796153846153846,20.0,1.0,1
NCT03118128,2015.0,159.0,139.0,613.0,7.0,16.0,63.21911764705882,18.83670422535211,3.0,1.0,1
NCT00494234,2007.0,61.0,40.0,63.0,5.0,4.0,28.234716981132078,20.546341463414638,1.0,3.0,1
NCT02345330,2015.0,408.0,79.0,0.0,16.0,7.0,10.954732383519449,21.28117647058824,4.0,2.0,0
NCT03128619,2017.0,1102.0,85.0,406.0,23.0,37.0,34.16247899159664,11.88100574712644,32.0,7.0,0
NCT01459380,2011.0,1633.0,154.0,265.0,28.0,42.0,39.34352226720648,16.870649350649355,31.0,4.0,1
NCT05848050,2023.0,144.0,73.0,98.0,5.0,8.0,34.005381679389316,37.19577464788732,1.0,0.0,1
NCT01664182,2012.0,1293.0,147.0,301.0,22.0,22.0,55.94181058726221,17.64048648648649,36.0,3.0,1
NCT04637698,2021.0,865.0,71.0,44.0,12.0,16.0,12.830225563909774,17.76,33.0,5.0,0
NCT00548093,2008.0,100.0,32.0,0.0,8.0,5.0,14.453333333333337,18.577419354838714,3.0,2.0,1
NCT03020017,2017.0,691.0,139.0,137.0,26.0,12.0,47.66830708661418,11.10861138861139,22.0,3.0,1
NCT05045404,2021.0,1810.0,73.0,153.0,21.0,42.0,29.41588235294118,10.924760273972602,58.0,16.0,0
NCT03495921,2018.0,995.0,83.0,352.0,10.0,39.0,12.590397946084725,19.351428571428574,28.0,8.0,0
NCT01891357,2013.0,454.0,58.0,371.0,12.0,25.0,12.963119455333196,9.92666666666667,23.0,9.0,0
NCT02135419,2014.0,621.0,106.0,580.0,15.0,10.0,29.552329896907214,16.812680180180184,17.0,2.0,1
NCT01991249,2014.0,33.0,591.0,0.0,2.0,3.0,19.320000000000004,20.083141025641023,1.0,0.0,1
NCT01834248,2013.0,488.0,179.0,211.0,12.0,17.0,34.00541125541126,16.764326424870465,9.0,0.0,1
NCT02617589,2016.0,86.0,57.0,0.0,5.0,7.0,36.001333333333335,13.71896551724138,3.0,0.0,1
NCT02215161,2014.0,1277.0,70.0,250.0,54.0,18.0,45.010000000000005,18.608333333333338,44.0,1.0,0
NCT04142554,2020.0,860.0,310.0,466.0,23.0,13.0,11.793835082697203,9.515634920634923,25.0,12.0,0
NCT03655756,2018.0,422.0,57.0,388.0,11.0,13.0,18.416678752719367,10.02214285714286,7.0,3.0,1
NCT02667587,2016.0,113.0,45.0,0.0,6.0,7.0,20.82718446601942,13.220434782608695,3.0,0.0,1
NCT00721409,2008.0,79.0,27.0,0.0,5.0,4.0,11.672058823529415,13.040000000000003,2.0,5.0,1
NCT00777036,2009.0,296.0,66.0,0.0,13.0,8.0,29.708734982332164,19.807272727272736,4.0,0.0,1
NCT06410534,2025.0,625.0,249.0,508.0,26.0,13.0,14.902237136465327,8.001120253164558,15.0,14.0,0
NCT03409198,2018.0,1434.0,80.0,145.0,17.0,42.0,13.44190058479532,14.96515060240964,27.0,19.0,1
NCT02285062,2015.0,160.0,35.0,348.0,6.0,5.0,14.39714285714286,29.351052631578955,6.0,1.0,1
NCT03300544,2019.0,1400.0,141.0,275.0,15.0,30.0,35.46895329095432,18.340611111111112,34.0,3.0,0
NCT04416516,2020.0,694.0,89.0,418.0,21.0,13.0,11.089892646269462,16.830482758620693,19.0,3.0,1
NCT01415765,2011.0,676.0,220.0,414.0,15.0,17.0,14.932023474178404,8.56044724770642,14.0,4.0,0
NCT02973191,2016.0,2025.0,56.0,0.0,53.0,28.0,13.90245776266201,14.915000000000003,59.0,19.0,0
NCT03166891,2017.0,594.0,56.0,49.0,11.0,23.0,13.538495105554905,17.66181818181818,23.0,3.0,1
NCT07529613,2023.0,1066.0,43.0,0.0,16.0,34.0,11.955018607123872,19.145000000000007,39.0,12.0,1
NCT02340975,2015.0,94.0,43.0,0.0,6.0,5.0,15.381170731707318,34.92826086956522,3.0,0.0,1
NCT01380795,2011.0,121.0,661.0,0.0,9.0,7.0,9.397354740061164,20.235558021559928,0.0,3.0,0
NCT01639001,2012.0,321.0,83.0,0.0,4.0,12.0,19.047395498392287,26.591304347826085,4.0,3.0,1
NCT02598895,2016.0,519.0,79.0,35.0,22.0,9.0,31.238205394190874,19.740512820512823,18.0,5.0,1
NCT04418219,2020.0,1477.0,180.0,216.0,33.0,29.0,21.398343615494984,14.37836524300442,42.0,22.0,0
NCT02751177,2016.0,145.0,61.0,58.0,6.0,9.0,57.588217054263566,18.5425,5.0,2.0,1
NCT02658812,2016.0,1359.0,55.0,388.0,17.0,32.0,31.47632230935334,15.945909090909094,49.0,1.0,0
NCT04552613,2020.0,950.0,91.0,301.0,17.0,13.0,10.254366384321543,25.044473684210534,35.0,10.0,1
NCT03281382,2017.0,437.0,21.0,211.0,15.0,13.0,12.785833333333336,18.525263157894738,15.0,1.0,1
NCT06299761,2024.0,213.0,53.0,38.0,8.0,12.0,25.053157360406093,17.876818181818184,2.0,0.0,0
